eval/mean_ep_length,time/total_timesteps,eval/mean_reward
511.4,1000,-4397320.241564
1.0,2000,-4914.329967600001
1.0,3000,-4257.037461
1.0,4000,-6933.492844800001
1.0,5000,-3944.5510179999997
1.0,6000,-4218.517766
1.0,7000,-4238.821843199999
1.0,8000,-5909.2528972
1.0,9000,-4424.4799472
1.0,10000,-5117.6058506
1.0,11000,-4502.6583214
1.0,12000,-4418.2201218
1.0,13000,-4704.655820800001
1.0,14000,-6208.7753582
1.0,15000,-4378.2421648
1.0,16000,-5333.8473482
1.0,17000,-4035.5802821999996
1.0,18000,-4643.3022626
1.0,19000,-4737.989355000001
1.0,20000,-5765.214784399999
1.0,21000,-4499.0209608000005
1.0,22000,-4806.2127724
1.0,23000,-4565.5755806
1.0,24000,-4570.957028
1.0,25000,-5099.897703199999
1.0,26000,-4536.7265674
1.0,27000,-4379.8842904
1.0,28000,-4689.223759400001
1.0,29000,-3983.794188600001
1.0,30000,-4919.110802
1.0,31000,-5596.458667600001
1.0,32000,-5344.1748374
1.0,33000,-4899.5182952
1.0,34000,-4968.9961988
1.0,35000,-4708.3109628
1.0,36000,-5331.2333247999995
1.0,37000,-4430.679984200001
1.0,38000,-5081.1412378
1.0,39000,-5209.4072268
1.0,40000,-4765.534793000001
1.0,41000,-4931.9854350000005
1.0,42000,-4728.192749
1.0,43000,-4949.6340186
1.0,44000,-4887.5025584
1.0,45000,-5678.0517496
1.0,46000,-4517.359621
1.0,47000,-4809.7309342
1.0,48000,-4803.4275652
1.0,49000,-4883.953736799999
1.0,50000,-4849.3557626
1.0,51000,-5716.1847702
1.0,52000,-4357.5931961999995
1.0,53000,-4733.628909399999
1.0,54000,-5395.4174696
1.0,55000,-4473.1855590000005
1.0,56000,-4498.9158523999995
1.0,57000,-4442.1335496
1.0,58000,-4993.8578814
1.0,59000,-4709.1994636
1.0,60000,-4647.9566356000005
1.0,61000,-5428.7712444
1.0,62000,-4694.604862800001
1.0,63000,-5202.1205042
1.0,64000,-5500.2932338
1.0,65000,-4754.068979999999
1.0,66000,-3904.2251692
1.0,67000,-4978.0949316
1.0,68000,-4842.9434688
1.0,69000,-4439.256589
1.0,70000,-4148.0904144
1.0,71000,-4651.268269599999
1.0,72000,-4450.606566
1.0,73000,-5125.9476154
1.0,74000,-4151.8485208
1.0,75000,-6041.523812400001
